Average Returns,Iteration
-2033.727783203125,0
-1543.692138671875,5
-2033.727783203125,10
-1543.692138671875,15
-2033.727783203125,20
-1543.692138671875,25
-2033.727783203125,30
-1543.692138671875,35
-1696.227783203125,40
-1543.692138671875,45
-1696.227783203125,50
-1543.692138671875,55
-2000.634033203125,60
-1543.692138671875,65
-2033.727783203125,70
-1543.692138671875,75
-2033.727783203125,80
-1543.692138671875,85
-2000.634033203125,90
-1543.692138671875,95
-1696.227783203125,100
-1543.692138671875,105
-1543.692138671875,110
-1543.692138671875,115
-1543.692138671875,120
-1543.692138671875,125
-1543.692138671875,130
-1543.692138671875,135
-1543.692138671875,140
-1543.692138671875,145
